Web Search interest: potato
Worldwide; Dec 2009 - Nov 2012

Interest over time
Week,potato
2011-01-16 - 2011-01-22,40
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,40
2011-02-20 - 2011-02-26,40
2011-02-27 - 2011-03-05,39
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,37
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,37
2011-04-10 - 2011-04-16,38
2011-04-17 - 2011-04-23,47
2011-04-24 - 2011-04-30,38
2011-05-01 - 2011-05-07,35
2011-05-08 - 2011-05-14,36
2011-05-15 - 2011-05-21,36
2011-05-22 - 2011-05-28,37
2011-05-29 - 2011-06-04,38
2011-06-05 - 2011-06-11,34
2011-06-12 - 2011-06-18,35
2011-06-19 - 2011-06-25,36
2011-06-26 - 2011-07-02,37
2011-07-03 - 2011-07-09,39
2011-07-10 - 2011-07-16,37
2011-07-17 - 2011-07-23,36
2011-07-24 - 2011-07-30,36
2011-07-31 - 2011-08-06,37
2011-08-07 - 2011-08-13,36
2011-08-14 - 2011-08-20,36
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,35
2011-09-04 - 2011-09-10,37
2011-09-11 - 2011-09-17,36
2011-09-18 - 2011-09-24,38
2011-09-25 - 2011-10-01,39
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,40
2011-10-16 - 2011-10-22,42
2011-10-23 - 2011-10-29,42
2011-10-30 - 2011-11-05,42
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,54
2011-11-20 - 2011-11-26,96
2011-11-27 - 2011-12-03,42
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,42
2011-12-18 - 2011-12-24,60
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,44
2012-01-08 - 2012-01-14,43
2012-01-15 - 2012-01-21,44
2012-01-22 - 2012-01-28,42
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,41
2012-02-12 - 2012-02-18,40
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,40
2012-03-04 - 2012-03-10,40
2012-03-11 - 2012-03-17,41
2012-03-18 - 2012-03-24,38
2012-03-25 - 2012-03-31,37
2012-04-01 - 2012-04-07,45
2012-04-08 - 2012-04-14,41
2012-04-15 - 2012-04-21,37
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,38
2012-05-13 - 2012-05-19,38
2012-05-20 - 2012-05-26,39
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,37
2012-06-10 - 2012-06-16,38
2012-06-17 - 2012-06-23,38
2012-06-24 - 2012-06-30,38
2012-07-01 - 2012-07-07,43
2012-07-08 - 2012-07-14,38
2012-07-15 - 2012-07-21,39
2012-07-22 - 2012-07-28,39
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,38
2012-08-12 - 2012-08-18,38
2012-08-19 - 2012-08-25,40
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,40
2012-09-09 - 2012-09-15,41
2012-09-16 - 2012-09-22,42
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,46
2012-10-14 - 2012-10-20,44
2012-10-21 - 2012-10-27,44
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,56
2012-11-18 - 2012-11-24,100
2012-11-25 - 2012-12-01,46


Top regions for potato
Region,potato
United States,100
Australia,98
New Zealand,85
Canada,82
Thailand,74
United Kingdom,70
Ireland,68
Singapore,65
South Africa,50
Philippines,49
United Arab Emirates,34
Malaysia,33
Hong Kong,28
India,21
Pakistan,20
Indonesia,13
South Korea,12
Norway,12
Denmark,10
Israel,8
Sweden,8
Taiwan,8
Netherlands,8
Switzerland,6
Belgium,6
Spain,4
Germany,4
Brazil,3
Mexico,3
Italy,3
Japan,3
China,3
Poland,3
France,2


Top cities for potato
City,potato
Austin (United States),100
Seattle (United States),97
St. Louis (United States),97
Denver (United States),95
Minneapolis (United States),92
Charlotte (United States),90
Philadelphia (United States),87
Chicago (United States),86
Boston (United States),86
San Francisco (United States),84
San Diego (United States),83
Phoenix (United States),82
Washington (United States),81
Vancouver (Canada),81
Atlanta (United States),80



Top searches for potato
sweet potato,100
potato recipe,75
potato soup,45
baked potato,40
recipes,40
potato recipes,40
potato salad,40
potatoes,20
potato casserole,20
sweet potato recipe,20
potato chips,15
bake potato,15
potato soup recipe,15
sweet potato fries,15
sweet potato recipes,15
potato salad recipe,15
mashed potato,10
microwave potato,10
sweet potato casserole,10
potato leek soup,10
potato head,10
sweet potato pie,10
baked potato recipe,10
calories in potato,5
baked sweet potato,5
potato wedges,5
hot potato,5
mash potato,5
mr potato,5
potato pancakes,5
sweet potatoes,5
jacket potato,5
sweet potato soup,5
potato nutrition,5
couch potato,5
potato bread,5
mashed potato recipe,5
soup recipes,5
potato soup recipes,5
mr potato head,5
microwave baked potato,5
potato curry,5
roasted potato,5
potato gratin,5
potato salad recipes,5
potato skins,5
baked potato soup,5
sweet potato calories,5
potato famine,5
mashed potatoes,5



Rising searches for potato
microwave sweet potato,+80%
sweet potato nutrition,+70%
sweet potato chips,+60%
bake sweet potato,+50%
mash potato recipe,+50%
sweet potato fries,+50%
mashed potatoes,+40%
potato bacon soup,+40%
sweet potato calories,+40%
sweet potato soup,+40%



