Web Search interest: eat da poo poo
Worldwide; May 2010 - Apr 2013

Interest over time
Week,eat da poo poo
2012-03-04 - 2012-03-10,17
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,13
2012-03-25 - 2012-03-31,13
2012-04-01 - 2012-04-07,12
2012-04-08 - 2012-04-14,12
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,0
2012-04-29 - 2012-05-05,0
2012-05-06 - 2012-05-12,0
2012-05-13 - 2012-05-19,0
2012-05-20 - 2012-05-26,0
2012-05-27 - 2012-06-02,0
2012-06-03 - 2012-06-09,0
2012-06-10 - 2012-06-16,0
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,0
2012-07-01 - 2012-07-07,0
2012-07-08 - 2012-07-14,0
2012-07-15 - 2012-07-21,0
2012-07-22 - 2012-07-28,0
2012-07-29 - 2012-08-04,0
2012-08-05 - 2012-08-11,0
2012-08-12 - 2012-08-18,0
2012-08-19 - 2012-08-25,0
2012-08-26 - 2012-09-01,0
2012-09-02 - 2012-09-08,0
2012-09-09 - 2012-09-15,0
2012-09-16 - 2012-09-22,0
2012-09-23 - 2012-09-29,13
2012-09-30 - 2012-10-06,0
2012-10-07 - 2012-10-13,0
2012-10-14 - 2012-10-20,0
2012-10-21 - 2012-10-27,0
2012-10-28 - 2012-11-03,0
2012-11-04 - 2012-11-10,0
2012-11-11 - 2012-11-17,13
2012-11-18 - 2012-11-24,0
2012-11-25 - 2012-12-01,0
2012-12-02 - 2012-12-08,0
2012-12-09 - 2012-12-15,0
2012-12-16 - 2012-12-22,0
2012-12-23 - 2012-12-29,0
2012-12-30 - 2013-01-05,0
2013-01-06 - 2013-01-12,11
2013-01-13 - 2013-01-19,0
2013-01-20 - 2013-01-26,0
2013-01-27 - 2013-02-02,0
2013-02-03 - 2013-02-09,0
2013-02-10 - 2013-02-16,0
2013-02-17 - 2013-02-23,0
2013-02-24 - 2013-03-02,0
2013-03-03 - 2013-03-09,0
2013-03-10 - 2013-03-16,0
2013-03-17 - 2013-03-23,9
2013-03-24 - 2013-03-30,0
2013-03-31 - 2013-04-06,0
2013-04-07 - 2013-04-13,0
2013-04-14 - 2013-04-20,0
2013-04-21 - 2013-04-27,0
2013-04-28 - 2013-05-04,0


Top regions for eat da poo poo
Region,eat da poo poo
United States,100











